ID,note,success,mention,comp_devoir,comp_feedback,comp_fichier,comp_presence,comp_remises,comp_systeme,c_notTD,c_TD1,c_TD2,c_TD3,c_TD4,c_TD5,c_TD6,c_TD7,c_TD_all,day_with_inter,ev_class_access,ev_course_access,ev_homework_handed,ev_homework_status,ev_presence,ev_presence_check,ev_presence_set,interactions,interactionsAH,interactionsDO,inter_per_day_mean,inter_per_day_var,session_avg,session_sum,variete_all,variete_composant,variete_contexte,variete_evenement
190,0.0,0,0,30.0,,19.0,,6.0,9.0,8.0,,2.0,4.0,7.0,11.0,1.0,1.0,26.0,6,9.0,34,3.0,8.0,,,,64,5.0,,10.666666666666666,119.46666666666668,2.171111111111111,32.56666666666667,30,4,18,8
237,20.0,1,5,86.0,,22.0,13.0,16.0,34.0,9.0,7.0,7.0,14.0,7.0,6.0,8.0,7.0,56.0,16,33.0,65,8.0,23.0,4.0,9.0,4.0,172,27.0,2.0,10.75,74.8666666666667,0.8545454545454546,28.2,61,6,22,12
601,6.5,0,0,68.0,2.0,52.0,18.0,14.0,55.0,22.0,12.0,9.0,14.0,7.0,7.0,7.0,9.0,65.0,21,54.0,87,7.0,20.0,5.0,13.0,5.0,209,53.0,3.0,9.952380952380953,52.647619047619074,0.9571428571428572,53.6,66,6,28,11
677,16.5,1,4,67.0,2.0,22.0,10.0,14.0,25.0,14.0,6.0,6.0,5.0,12.0,5.0,6.0,2.0,42.0,16,24.0,56,7.0,17.0,3.0,7.0,3.0,140,20.0,,8.75,57.53333333333334,0.9064102564102564,23.566666666666663,59,6,22,15
758,2.0,0,0,46.0,,54.0,3.0,10.0,17.0,39.0,10.0,2.0,7.0,6.0,8.0,5.0,,38.0,10,16.0,77,5.0,13.0,1.0,2.0,1.0,130,43.0,,13.0,57.333333333333336,1.512820512820513,39.333333333333336,51,5,24,10
255,0.0,0,0,16.0,,4.0,4.0,,6.0,1.0,5.0,3.0,1.0,1.0,1.0,,,11.0,7,5.0,12,,8.0,1.0,3.0,1.0,30,11.0,,4.285714285714286,6.23809523809524,0.3111111111111111,2.8,18,4,11,6
351,16.0,1,4,42.0,4.0,30.0,11.0,10.0,24.0,21.0,3.0,8.0,6.0,5.0,5.0,5.0,2.0,34.0,11,23.0,55,5.0,11.0,3.0,8.0,3.0,122,8.0,,11.090909090909092,42.49090909090908,0.9902298850574712,28.716666666666665,56,7,27,11
162,7.5,0,0,68.0,,33.0,12.0,14.0,34.0,19.0,12.0,5.0,6.0,7.0,6.0,7.0,5.0,48.0,17,33.0,67,7.0,20.0,4.0,8.0,4.0,161,8.0,10.0,9.470588235294118,35.01470588235294,1.0546511627906976,45.35,64,5,26,10
336,19.0,1,5,68.0,3.0,33.0,18.0,14.0,32.0,16.0,14.0,10.0,8.0,6.0,5.0,5.0,5.0,53.0,14,31.0,69,7.0,20.0,5.0,13.0,5.0,168,25.0,4.0,12.0,54.3076923076923,1.1866666666666668,47.46666666666667,63,6,25,11
86,5.0,0,0,66.0,2.0,37.0,16.0,16.0,29.0,26.0,11.0,6.0,8.0,5.0,5.0,5.0,5.0,45.0,15,28.0,71,8.0,17.0,4.0,12.0,4.0,166,22.0,,11.066666666666666,54.35238095238096,1.12875,45.15,65,6,26,12
107,17.5,1,4,58.0,2.0,24.0,18.0,14.0,27.0,14.0,9.0,6.0,5.0,5.0,5.0,5.0,5.0,40.0,16,26.0,54,7.0,15.0,5.0,13.0,5.0,143,11.0,3.0,8.9375,29.262499999999985,0.5954545454545455,19.65,62,6,24,11
369,8.0,0,0,64.0,3.0,34.0,23.0,14.0,42.0,22.0,9.0,5.0,8.0,8.0,5.0,6.0,6.0,47.0,14,41.0,69,7.0,18.0,4.0,19.0,4.0,181,19.0,,12.928571428571429,73.45604395604397,1.262719298245614,47.98333333333333,65,7,27,11
897,19.0,1,5,66.0,2.0,33.0,19.0,16.0,30.0,22.0,7.0,6.0,11.0,7.0,5.0,5.0,5.0,46.0,14,29.0,68,8.0,17.0,5.0,14.0,5.0,167,15.0,,11.928571428571429,54.840659340659336,0.8898148148148147,32.03333333333333,67,7,28,12
