Utilisateur,Durée
196.0,314.20000000000044
283.0,42.499999999999964
825.0,48.78333333333328
55.0,7.466666666666662
3.0,14.266666666666694
340.0,3.6333333333333315
88.0,3.383333333333331
774.0,19.333333333333357
708.0,6.616666666666663
47.0,44.233333333333306
887.0,33.049999999999955
237.0,9.349999999999998
896.0,6.233333333333328
536.0,11.366666666666694
885.0,8.100000000000001
278.0,31.04999999999997
490.0,7.299999999999997
673.0,10.249999999999996
393.0,7.299999999999995
711.0,8.149999999999995
86.0,4.266666666666661
769.0,21.033333333333335
703.0,16.483333333333327
113.0,10.016666666666676
835.0,24.650000000000013
343.0,24.283333333333307
44.0,12.16666666666666
958.0,20.19999999999998
911.0,17.299999999999994
601.0,20.51666666666666
367.0,26.333333333333343
337.0,8.53333333333335
132.0,2.416666666666666
138.0,12.333333333333353
827.0,2.0999999999999996
331.0,9.133333333333338
9.0,20.216666666666654
79.0,9.400000000000011
841.0,1.0166666666666673
402.0,8.783333333333342
107.0,4.299999999999998
109.0,12.23333333333333
71.0,20.066666666666638
641.0,9.68333333333333
118.0,25.199999999999967
77.0,23.033333333333328
258.0,34.49999999999995
505.0,3.033333333333331
892.0,24.15000000000002
97.0,3.999999999999996
408.0,22.68333333333335
995.0,5.166666666666663
986.0,4.63333333333333
142.0,16.650000000000002
366.0,1.3166666666666664
622.0,9.166666666666664
794.0,2.2333333333333325
758.0,13.866666666666685
134.0,22.150000000000013
897.0,4.349999999999998
144.0,12.983333333333345
104.0,3.0
146.0,18.533333333333342
605.0,10.983333333333361
103.0,19.833333333333368
351.0,3.8166666666666655
537.0,51.249999999999915
386.0,10.433333333333346
332.0,4.049999999999997
162.0,7.116666666666663
171.0,9.03333333333334
28.0,24.133333333333333
511.0,10.000000000000021
423.0,9.949999999999996
961.0,5.149999999999997
761.0,14.11666666666667
832.0,6.63333333333333
421.0,8.933333333333334
114.0,13.466666666666718
497.0,15.366666666666712
353.0,6.183333333333328
862.0,16.033333333333378
750.0,9.516666666666689
677.0,6.38333333333333
724.0,11.000000000000018
792.0,21.16666666666669
924.0,8.450000000000015
823.0,26.883333333333322
806.0,22.61666666666668
712.0,20.799999999999986
888.0,7.516666666666663
190.0,3.549999999999999
988.0,7.683333333333328
445.0,29.74999999999998
213.0,11.233333333333345
430.0,18.883333333333347
379.0,9.233333333333348
731.0,5.7999999999999945
507.0,12.500000000000021
771.0,12.983333333333345
581.0,18.96666666666668
324.0,16.533333333333328
552.0,5.266666666666663
946.0,10.883333333333352
155.0,8.049999999999995
0.0,15.366666666666701
334.0,13.766666666666678
898.0,3.216666666666666
672.0,12.283333333333353
256.0,15.616666666666708
40.0,22.61666666666666
891.0,3.3666666666666654
779.0,17.399999999999995
392.0,3.2333333333333325
702.0,12.500000000000046
453.0,4.966666666666664
369.0,12.78333333333336
815.0,11.066666666666706
728.0,16.68333333333336
843.0,10.466666666666676
394.0,6.8333333333333295
697.0,12.466666666666727
330.0,4.116666666666664
204.0,15.96666666666669
759.0,2.366666666666663
796.0,4.633333333333332
707.0,46.133333333333326
574.0,2.9833333333333316
336.0,18.999999999999996
49.0,4.599999999999999
163.0,14.483333333333345
625.0,2.4166666666666665
117.0,9.300000000000008
686.0,1.2166666666666661
973.0,15.6
931.0,5.933333333333333
487.0,4.666666666666665
294.0,1.516666666666667
255.0,2.283333333333333
656.0,1.8833333333333329
863.0,0.31666666666666665
381.0,21.66666666666666
579.0,0.983333333333334
541.0,14.749999999999998
824.0,0.1
234.0,2.833333333333333
754.0,3.6666666666666656
614.0,0.7
462.0,127.7
670.0,0.6333333333333333
801.0,1.0166666666666666
818.0,2.7666666666666666
